country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",19-10-2025 20:00,26.843698,75.766894,NO2,5,158,79
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",19-10-2025 20:00,26.843698,75.766894,SO2,1,9,3
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB",19-10-2025 20:00,13.1662,80.2584,OZONE,26,56,29
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",19-10-2025 20:00,13.164544,80.26285,NH3,6,9,7
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",19-10-2025 20:00,13.164544,80.26285,SO2,7,19,14
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",19-10-2025 20:00,12.9533,80.2357,CO,26,74,41
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",19-10-2025 20:00,12.9533,80.2357,OZONE,1,4,2
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-10-2025 20:00,13.0052189,80.2398125,CO,14,82,25
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",19-10-2025 20:00,12.9099161,80.1076538,OZONE,11,60,16
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",19-10-2025 20:00,13.0664,80.2112,PM10,30,235,103
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",19-10-2025 20:00,13.0664,80.2112,SO2,2,3,2
India,TamilNadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",19-10-2025 20:00,13.218341,80.32027,PM2.5,NA,NA,NA
India,TamilNadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",19-10-2025 20:00,13.218341,80.32027,PM10,NA,NA,NA
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",19-10-2025 20:00,13.1278,80.2642,PM2.5,8,342,98
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",19-10-2025 20:00,13.1278,80.2642,NO2,5,13,8
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",19-10-2025 20:00,26.9164092,75.7994901,SO2,5,8,6
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",19-10-2025 20:00,26.9164092,75.7994901,OZONE,5,56,39
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",19-10-2025 20:00,26.960669,75.771817,PM10,60,168,97
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",19-10-2025 20:00,26.960669,75.771817,NH3,5,6,5
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",19-10-2025 20:00,17.544899,78.486949,NO2,19,22,20
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",19-10-2025 20:00,17.544899,78.486949,NH3,3,5,4
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",19-10-2025 20:00,17.429398,78.569354,NO2,11,16,13
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",19-10-2025 20:00,17.429398,78.569354,SO2,11,18,12
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",19-10-2025 20:00,17.37206,78.50864,PM2.5,33,137,60
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",19-10-2025 20:00,17.528544,78.286195,NO2,9,20,11
